,song,artist,uri,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,cluster
112,Purity (feat. Frank Ocean),A$AP Rocky,spotify:track:2MF4HtZHBoUliOi9nOAbS0,0.342,0.294,-15.989,0.0426,0.592,0.674,0.0944,0.132,84.014,7
113,COFFEE BEAN,Travis Scott,spotify:track:6vnfObZ4Ys70SBAtti1xZ9,0.402,0.526,-6.741,0.0904,0.113,8.33e-06,0.105,0.312,81.404,1
114,Little Lies,ODIE,spotify:track:6QpZXzHcOgXK41Y3YCx203,0.665,0.612,-4.664,0.0314,0.487,0.000194,0.183,0.25,120.989,1
115,90210 (feat. Kacy Hill),Travis Scott,spotify:track:51EC3I1nQXpec4gDk0mQyP,0.663,0.552,-8.925,0.0308,0.0574,0.0131,0.0973,0.687,132.867,3
116,Coming Down,The Weeknd,spotify:track:3PsS445MHcmtroGTstfTbm,0.727,0.527,-7.111,0.252,0.218,0.000228,0.113,0.102,84.471,6
117,Midnight,Khruangbin,spotify:track:6Gh6lzW6QeiXkFSfsvNS0b,0.839,0.583,-5.941,0.268,0.239,0.0,0.262,0.564,87.99,6
118,Acid Rain,Chance the Rapper,spotify:track:0yLsJKNJHmSnmSGl3ZodYn,0.658,0.294,-8.533,0.0321,0.422,5.2e-05,0.0749,0.358,74.038,2
119,Oldie,Odd Future,spotify:track:53dkS3h9uTNsWYZTPacnpx,0.603,0.783,-4.023,0.062,0.449,7.96e-06,0.119,0.775,172.041,3
120,Get You (feat. Kali Uchis),Daniel Caesar,spotify:track:7zFXmv6vqI4qOt4yGf3jYZ,0.916,0.756,-7.653,0.188,0.0942,0.0,0.23,0.756,115.69,3
121,Dark Red,Steve Lacy,spotify:track:37y7iDayfwm3WXn5BiAoRk,0.583,0.454,-11.091,0.0425,0.265,0.0,0.181,0.309,74.64,2
122,Who You Foolin,Gunna,spotify:track:7KVPsVMOK3NL7subwJ0dZj,0.665,0.535,-7.056,0.0572,0.0786,1.68e-05,0.154,0.37,138.842,1
123,Tell Your Friends,The Weeknd,spotify:track:1mhVXWduD8ReDwusfaHNwU,0.395,0.409,-8.58,0.056,0.708,1.62e-05,0.0982,0.193,74.088,2
124,PRIDE.,Kendrick Lamar,spotify:track:6IZvVAP7VPPnsGX6bvgkqg,0.507,0.586,-8.15,0.0586,0.599,0.0544,0.118,0.588,108.164,2
125,Take Me Away (feat. Syd),Daniel Caesar,spotify:track:3E895HtTn6lB40SA0l9EkL,0.706,0.688,-6.357,0.269,0.151,0.0,0.466,0.313,125.966,6
126,sdp interlude,Travis Scott,spotify:track:4gh0ZnHzaTMT1sDga7Ek0N,0.783,0.563,-8.132,0.276,0.537,0.0,0.392,0.517,132.155,6
127,Wat's Wrong (feat. Zacari & Kendrick Lamar),Isaiah Rashad,spotify:track:2RPbEp0DyBVlkRvvYKopO7,0.717,0.602,-9.441,0.323,0.324,1.1e-05,0.0923,0.539,124.003,6
128,Smile,Isaiah Rashad,spotify:track:3UNoPBNWST9mQleI5T53zL,0.667,0.523,-9.477,0.329,0.532,2.12e-05,0.137,0.409,143.934,6
129,Tity and Dolla (feat. Hugh Augustine & Jay Rock),Isaiah Rashad,spotify:track:2NoKRHt8LVpnQMVl3TPwvu,0.644,0.736,-6.862,0.0514,0.16,0.000156,0.6,0.347,115.032,4
130,4r Da Squaw,Isaiah Rashad,spotify:track:71lyUtIPCMAYjTwwwxy2jW,0.91,0.567,-5.208,0.0987,0.00274,5.29e-05,0.498,0.545,130.999,3
131,Love In The Sky,The Weeknd,spotify:track:3WKYPmiPpJas9j5Aari5iK,0.731,0.664,-5.474,0.0302,0.00307,0.35,0.133,0.661,118.018,3
132,Find a Topic (homies begged),Isaiah Rashad,spotify:track:17JA4HlieSH7TY3pQk21MJ,0.515,0.865,-5.792,0.264,0.17,5.69e-06,0.351,0.531,83.326,6
133,Is It True,Tame Impala,spotify:track:6RZmhpvukfyeSURhf4kZ0d,0.546,0.259,-13.372,0.0271,0.656,0.932,0.0781,0.365,85.338,7
134,Best One,NxWorries,spotify:track:1IBPFXqn6qLeeiGMSyfBcA,0.707,0.546,-9.017,0.0399,0.427,0.17,0.101,0.774,78.007,3
135,Dearest Alfred,Khruangbin,spotify:track:4qh6Aw7Y7G4rxtRB3SUmqs,0.635,0.184,-10.785,0.0456,0.665,0.0,0.146,0.177,128.424,2
136,Slipping Away,LEISURE,spotify:track:0BCPHe2assdUDijB5gUuCU,0.421,0.787,-7.528,0.295,0.366,0.0,0.106,0.736,141.691,6
137,River,Leon Bridges,spotify:track:3hhbDnFUb2bicI2df6VurK,0.729,0.338,-12.816,0.116,0.892,0.000295,0.118,0.184,119.345,2
138,Starlite,NxWorries,spotify:track:6kkvWbBu8a07a8TevTF9JO,0.637,0.569,-5.858,0.55,0.173,0.0,0.18,0.148,140.269,6
139,Slow Down,Mac Ayres,spotify:track:3XstzgzP0rp3bzElEnRVHv,0.515,0.559,-8.369,0.45,0.242,0.0,0.145,0.193,55.679,6
140,Too Much,Drake,spotify:track:6kIh5c8x8vzOe6OKW1X59U,0.676,0.536,-8.79,0.0432,0.403,3.37e-05,0.105,0.373,79.037,2
141,Nigga Needs,WESTSIDE BOOGIE,spotify:track:5bwRASP58MvtaneNx7Ifrz,0.458,0.773,-6.925,0.343,0.242,2.3e-05,0.225,0.811,78.331,6
142,HONEST,Baby Keem,spotify:track:58k32my5lKofeZRtIvBDg9,0.539,0.615,-8.746,0.252,0.173,0.0056,0.144,0.493,163.924,6
143,Get Bigger / Do U Luv,NxWorries,spotify:track:08VNThwlDByBAaZUNZj1aS,0.603,0.633,-4.148,0.0334,0.0473,2.8e-05,0.433,0.0894,86.971,1
144,"Gravity (feat. Tyler, The Creator)",Brent Faiyaz,spotify:track:6u3CPnFMKANYgfdiifFOiJ,0.426,0.47,-8.097,0.0755,0.528,0.000882,0.112,0.45,86.508,2
145,Call Your Name,Tora-i,spotify:track:2hwf6IE0V4MVqw9tbWY9FQ,0.391,0.415,-11.665,0.0398,0.573,0.00188,0.242,0.0789,99.035,2
146,LOST YOU,Snoh Aalegra,spotify:track:0Gmjaje0sMUwD5mIHlhlfs,0.437,0.31,-7.66,0.0313,0.464,8.24e-05,0.11,0.236,134.133,2
147,ARE YOU OK?,Daniel Caesar,spotify:track:2hSwwIRD8sahfwQGjFdixz,0.509,0.467,-4.94,0.0331,0.436,9.98e-06,0.0971,0.538,175.159,2
148,Rain,The Teskey Brothers,spotify:track:5BIZDYG2RBRtp2Fprj8MyG,0.593,0.603,-7.83,0.0534,0.0527,0.0604,0.416,0.225,71.531,1
149,Forever You and Me,The Teskey Brothers,spotify:track:4GUaG3df9nbrj77GKEB76j,0.521,0.762,-6.75,0.534,0.139,1.11e-05,0.114,0.264,164.289,6
150,Kutless,NxWorries,spotify:track:5bdieA5tASyMHKl1FB2xzN,0.441,0.403,-11.18,0.147,0.255,1.27e-05,0.13,0.158,139.92,2
151,Pound Cake / Paris Morton Music 2,Drake,spotify:track:1HDaPtZuixue2q6VGNRdVO,0.405,0.588,-9.464,0.259,0.657,1.94e-06,0.243,0.592,78.529,2
152,Cameras / Good Ones Go Interlude - Medley,Drake,spotify:track:03TsSYvCy8hxdThRdiCP74,0.373,0.609,-7.0,0.0316,0.108,0.000427,0.0755,0.354,179.955,0
153,Sidepiece,NxWorries,spotify:track:3o0zYn7dQtUZ1FRevTR8LZ,0.558,0.632,-8.339,0.284,0.832,0.105,0.198,0.519,161.764,6
154,Yes I'm Changing,Tame Impala,spotify:track:0xtIp0lgccN85GfGOekS5L,0.746,0.56,-9.02,0.0932,0.649,0.000577,0.107,0.172,91.988,2
155,Barefoot In The Park,James Blake,spotify:track:1F7ZElvJAvWKQ7UaPXg9cF,0.517,0.598,-10.251,0.1,0.275,0.000542,0.276,0.528,140.131,2
156,Where's The Catch?,James Blake,spotify:track:5FYvk4lH8kLfRKHW8Ac0mL,0.798,0.465,-9.849,0.0843,0.242,0.000268,0.102,0.892,83.042,3
