,artist,title,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
17580,Hexsystem,Thank You,0.602,0.514,11.0,-11.709,1.0,0.0265,0.778,0.0313,0.0917,0.303,100.536,228257.0,4.0
17581,Hexsystem,Safe And Sound,0.411,0.51,8.0,-8.614,1.0,0.0277,0.154,0.721,0.116,0.305,154.497,335703.0,4.0
17582,Motoi Sakuraba,Untitled #6,0.142,0.424,2.0,-11.045,1.0,0.0352,0.775,0.000908,0.0802,0.189,81.558,187554.0,4.0
17583,Mason Lindroth,Cry Baby,0.379,0.633,10.0,-7.097,1.0,0.0306,0.13,0.727,0.273,0.156,134.755,243806.0,4.0
17584,Motoi Sakuraba,Me and Bobby McGee,0.437,0.514,11.0,-9.328,1.0,0.0274,0.137,0.555,0.0848,0.0731,110.912,389760.0,4.0
17585,Aperture Science Psychoacoustic Laboratories,Vivienne,0.578,0.485,4.0,-10.029,0.0,0.0324,0.0703,0.957,0.0594,0.761,154.046,314846.0,4.0
17586,Karl Flodin,Thanks,0.247,0.301,7.0,-11.735,1.0,0.0302,0.455,0.931,0.174,0.0872,174.217,253936.0,3.0
17587,Garoad,Looking Out for You,0.131,0.957,6.0,-3.038,1.0,0.104,0.00166,0.91,0.26,0.0616,174.196,359366.0,4.0
17588,Sewerslvt,Genesis,0.225,0.823,8.0,-5.8,0.0,0.316,0.163,0.886,0.401,0.316,84.965,167805.0,4.0
17589,Chad VanGaalen,Lune de fiel,0.445,0.591,7.0,-9.004,0.0,0.0316,0.319,0.766,0.107,0.0774,137.864,216038.0,4.0
17590,Dido,Temple of Sorrow,0.816,0.255,6.0,-10.016,0.0,0.0416,0.774,0.00684,0.114,0.323,89.922,155528.0,4.0
17591,Capital Cities,Kim & Jessie,0.555,0.902,0.0,-7.918,1.0,0.0958,0.337,0.0,0.152,0.62,156.108,287507.0,4.0
17592,Girlfriends,Moonchild,0.192,0.952,2.0,-5.888,1.0,0.258,0.00164,0.716,0.307,0.262,172.752,234607.0,4.0
17593,Janis Joplin,Holy Diver,0.316,0.859,2.0,-7.313,1.0,0.0414,5.91e-05,0.863,0.261,0.329,83.117,173165.0,4.0
17594,Janis Joplin,Breathe (In the Air),0.433,0.872,11.0,-3.843,0.0,0.0426,0.0306,0.0124,0.193,0.243,105.216,258705.0,4.0
17595,Sundara Karma,Superman,0.231,0.877,9.0,-5.278,1.0,0.0574,0.000653,0.026,0.0694,0.524,186.142,164165.0,4.0
17596,Glossom,Lost Kitten,0.782,0.237,6.0,-11.662,1.0,0.0361,0.646,0.0183,0.239,0.451,123.071,235613.0,4.0
17597,Joy Again,Zebra,0.602,0.248,4.0,-14.062,0.0,0.0425,0.968,0.0,0.0988,0.189,129.775,165500.0,4.0
17598,Grimes,Silver Soul,0.176,0.384,8.0,-11.036,1.0,0.0377,0.897,0.0,0.107,0.23,91.29,154615.0,5.0
17599,M83,Norway,0.363,0.972,1.0,-3.258,1.0,0.148,0.00072,0.0,0.298,0.41,180.129,234128.0,4.0
17600,M83,Walk in the Park,0.47,0.971,11.0,-4.032,0.0,0.0941,0.000459,1.26e-06,0.089,0.184,93.967,360356.0,4.0
17601,M83,Used to Be,0.424,0.961,9.0,-4.1,0.0,0.119,0.000105,1.1e-06,0.31,0.345,110.004,289988.0,4.0
